,persian,english
3814,"اختیار معاملۀ استرپ

( دو قرارداد اختیار خرید و یک قرارداد اختیار فروش )

مترادف  triple option

 strip",strap
3815,"خرید تملکی راهبردی 

متضاد  paper value based takeover

 synergy",strategic buyout
3816,"وال استریت

( خیابان وال در منطقۀ منهتن پایین، محل بورس نیویورک و نماد جامعۀ مالی )",Street - Wall Street 
3817,اوراق بهادار به نام کارگزار,street name
3818, exercise price,strike price
3819,"تفکیک‌شده، اوراق بهادار با پشتوانۀ وام‌های رهنی تفکیک‌شده، اختیار سه‌تایی، صِرف سود سهام 

	[ اوراق بهادار ] 1-1. تفکیک‌شده ( اصل و کوپن اوراق قرضه ) 1-2. اوراق بهادار با پشتوانۀ وام‌های رهنی تفکیک‌شده (stripped  mortgage backed securities)>
	[ اختیار ",strip
3820,"قرضۀ تفکیک‌شده

( اصل از بهره )",stripped bond
3821,اوراق بهادار با پشتوانۀ وام‌های رهنی تفکیک‌شده,stripped mortgage - backed securities 
3822,"اوراق تفكیك‌شدۀ خزانه‌داری

( معاملۀ اصل و بهرۀ قرضۀ خزانه‌داری امریكا به طور جداگانه )",STRIPS-Seperate Trading of Registered Interest and Principal of Securities
3823,محصولات اعتباری ساخت‌مند,structural credit products
3824,"سند بدهی ساخت‌مند 

( ابزار مشتقّۀ متکی به تغییرات شاخص مبنا، قیمت سهام، و سند بدهی مبتنی بر ترتیبات سواپ )",structured note
3825,تسویۀ ساخت‌مند,structured settlement
3826,"سهام بی‌رمق 

( متعلق به شركت بیش از حد اهرمی شده )",stub stock
3827, investment philosophy,style
3828,"كمك عامل 

( صندوق‌های سرمایه‌گذاری مشترك )",subadvisor	
3829,"زیرشاخص

 stock indices and averages",subindex
3830,"مظنّه قابل‌مذاکره 

( اصطلاح وال استریت )

کوتاه‌شدۀ  subject quote",subject
3831, subject,subject quote
3832, qualified opinion,subject to opinion
3833,بدهی بدون اولویت,subordinated debt
3834,"مادۀ بدون اولویت

( قرارداد وام رهنی )",subordination clause
3835,وام دون اعتبار,sub - prime loan	
3836,بحران رهن دون اعتبار,sub - prime mortgage crisis	
3837,"جانشینی 

( مادۀ 30 قانون بیمه: بیمه‌گر در حدودی كه خسارات وارده را قبول یا پرداخت می‌كند، در مقابل اشخاصی كه مسئول وقوع حادثه یا خسارت هستند، قائم‌مقام بیمه‌گذار خواهد بود )",subrogation
3838,سرمایۀ تعهدشده,subscribed capital 	
3839,"تقاضانامۀ مشارکت 

( شریک متقاضی مشارکت با شریک ضامن در شرکت‌های مختلط غیر سهامی )",subscription agreement
3840,گواهی‌ حق خرید سهام,subscription certificate	
3841,"حق تقدم خرید سهام

( سهامداران موجود شرکت )

مترادف   subscription right

 preemptive right",subscription privilege
3842, subscription right,subscription ratio
3843, subscription privilege,subscription right
3844,"شرکت تابعه

 affiliate",subsidiary
3845,"جایگزینی، تبدیل، جانشینی، تعویض 

	[ بانکداری ] جایگزینی ( وثیقه با وثیقه )>
	[ قرارداد ] تبدیل ( novation)>
	[ اقتصاد ] جانشینی ( کالا و خدمات ) 4. [ حقوق ] تعویض ( وکیل در رابطه با وکالت‌نامۀ سهام ) ( stock power)>
	 [ اوراق بهادار ] 5 -1. جایگزینی",substitution
3846,"قرص خودکشی 

( قبضۀ مالکیت خصمانه )",suicide pill	
3847,"قواعد پایداری

( اطمینان از استطاعت مالی به عنوان سنجۀ ریسك‌پذیری سرمایه‌گذاران )

 know your customer",suitability rules
3848,"صكوك 
( گواهی مالی مبتنی بر شریعت با پشتوانۀ یك دارایی واقعی )",Sukuk
3849,"روش مجموع سنوات 

( محاسبۀ استهلاک )

مترادف  sum - of - digits method

 modified accelerated cost recovery system-MACRS",sum - of - the - years’ - digit method-SOYD 
3850,هزینۀ ریخته,sunk costs	
3851,"صنایع نوین 

متضاد  sunset industries",sunrise industries
3852,"شرط انقضا

( قوانین و مقررات )",sunset provision	
3853,"قوانین شفافیت 

( عملكرد دستگاه‌های نظارتی )

مترادف  government in the sunshine laws",sunshine laws
3854,"شاخص مسابقات قهرمانی ( کریکت ) امریکا

( تحلیل تکنیکال )",super bowl indicator 
3855, Designated Order Turnaround,super DOT
3856,"اصلاحیۀ اکثریت قاطع

( ضرورت موافقت حداقل دوسوم سهامداران شركت برای تصویب تصمیمات مهم )",supermajority amendment
3857,"سوپر مونتاژ 

( سامانۀ معاملاتی نسل جدید بازار سهام نزدك )",Super Montage
3858,حساب ویژه با دستور برداشت قابل انتقال,super negotiable order of withdrawal ( NOW) account
3859,"قرضه با کوپن بلندمدت و سررسید كوتاه‌مدت

 coupon bond",super sinker bond
3860,تحلیل‌گر ارشد,supervisory analyst
3861,قرارداد مکمّل,supplemental agreement
3862,"برنامۀ تأمین اجتماعی تکمیلی

( نابینایان، ناشنوایان، فقرا )",supplemental security income
3863,"اقتصاد طرف عرضه 

 aggregate supply",supply - side economics
3864,"سطح حمایت

( تحلیل تکنیکال )

متضاد  resistance level",support level
3865,"هزینۀ اضافی 

 surtax",surcharge
3866,ضامن ( شخص یا شرکت ),surety
3867,"ضمانت‌نامه 

( حسن انجام کار )",surety bond
3868, cash surrender value,surrender value
3869,مالیات اضافی,surtax
3870,"بخش نظارت بورس ( اوراق بهادار )

 stock watcher",surveillance department of exchanges
3871,همسر بازمانده,surviving spouse	
3872, joint tenants with right of survivorship,survivorship account
3873,"حساب موقت 

( حسابداری، بانکداری )",suspense account
3874, contingent order,swap order
3875,سواپ - اختیار معامله,swaption - swap + option 
3876,افزایش سرمایه با سخت‌کوشی,sweat equity
3877,"حساب انتقال ماندۀ نقدی

( انتقال خودكار ماندۀ نقدی حساب بانك یا كارگزاری به یك حساب با بهره در پایان هر روز كاری )

 asset management account",sweep account
3878, kicker,sweetener
3879, Society for Worldwide Interbank Financial Telecommunication,SWIFT
3880,مقام ناظر بازار مالی سویس,Swiss Financial Market Supervisory Authority-FINMA 
3881,"بورس اختیار معامله و آتی مالی سویس

( نام سابق یوركس سویس )

 Eurex Zurich AG",Swiss Options and Financial Futures Exchange AG 
3882,"انتقال، تعویض 

	[ صندوق سرمایه‌گذاری مشترک ] انتقال ( دارایی‌ها از صندوقی به صندوق دیگر ) ( no - load fund)>
	[ اوراق بهادار ] تعویض ( جایگزینی سهام یا اوراق قرضه با سهام و اوراق قرضۀ دیگر )>
</ol>
 swap",switching
3883, contingent order,switch order
3884,"گروه بورس‌های سویس

 Eurex",SWX Group
3885,بورس آتی سیدنی,Sydney Futures Exchange-SFE 
3886, purchase group,syndicate
3887, managing underwriter,syndicate manager
3888,"هم‌افزایی

 strategic buyout",synergy
3889,دارایی مصنوعی,synthetic asset
3890,برنامۀ سرمایه‌گذاری نظام‌مند,systematic investment plan
3891,"طرح برداشت نظام‌مند 

( صندوق سرمایه‌گذاری مشترک )",systematic withdrawal plan
3892, targeted amortization class (TAC) bonds,TAC bonds
3893,"تخصیص روزمرۀ وجوه بین دارایی‌ها

 asset allocation",tactical asset allocation
3894,"فاصلۀ زمانی، دامنک قیمت، دنبالۀ اعشاری 

	[ بیمه ] فاصلۀ زمانی ( بین دریافت حق بیمه‌ها و پرداخت خسارت )>
	[ حراج اوراق قرضۀ خزانه‌داری ] دامنک قیمت ( پایین‌ترین قیمت پیشنهادی خرید مورد قبول خزانه‌داری و متوسط قیمت‌های پیشنهادی خرید در مورد اوراق خزانۀ ",tail
3895,"رونویسی از مشتری

( توسط کارگزار )",tailgating
3896,بورس اوراق بهادار تایوان,Taiwan Stock Exchange Corporation-TSEC
3897,"تكافل

( نوعی بیمۀ اسلامی مبتنی بر اصل همكاری متقابل )",takaful
3898,"سود، دریافتی ناخالص قمارخانه یا مؤسسۀ شرط‌بندی، رشوه‌گیری، تملک، قبول پیشنهاد 

	سود>
	دریافتی ناخالص قمارخانه یا مؤسسۀ شرط‌بندی>
	رشوه‌گیری>
	[ حقوق ] تملک ( اموال گروی )>
	[ اوراق بهادار ] قبول پیشنهاد ( معاملات بین کارگزاران یا معامله‌گران )>
</",take
3899,"تحمل زیان شدید 

( سفته‌بازی، سرمایه‌گذاری )",take a bath
3900,بلندپروازی كردن ( سفته‌باز ),take a flier	
3901,"سهمیه، قیمت تخصیصی 

	سهمیه ( شرکت‌های تأمین سرمایه در عرضۀ جدید یا ثانویه )>

	قیمت تخصیصی ( به گروه پذیره‌نویس )>
</ol>
 underwrite",takedown
3902,"دریافتی خالص 

( حقوق ماهیانه )",take - home pay
3903,"جهش

( سهام شرکت، بازار سهام )",take off
3904,"قرارداد بردار یا بپرداز 

( عمدتاً مربوط به اوراق قرضۀ ساخت نیروگاه‌ها كه اگر ساخته نشود، خریدار برق می‌باید وجوه خریداران اوراق را بازپرداخت كند )",take - or - pay contrac
3905, risk arbitrage,takeover arbitrage
3906,"هدف قبضۀ مالکیت

 takeover",takeover target
3907,"تحویل گرفتن، تحویل گرفتن کالا، تحویل گرفتن

	[ به طور کلی ] تحویل گرفتن>
	[ بازار کالا ] تحویل گرفتن کالا ( قرارداد آتی یا بازار تحویل آنی )>
	[ اوراق بهادار ] تحویل گرفتن ( گواهی سهام یا اوراق قرضه )>
</ol>",taking delivery
3908,"دارایی مشهود 

مترادف  tangible property, tangibles

متضاد  intangible assets",tangible asset
3909,"ارزش ویژۀ مشهود

( کل دارایی‌ها منهای دارایی‌های نامشهود و كل بدهی‌ها )

مترادف  net tangible assets",tangible net worth
3910,"تأخیر در گزارشگری معاملات

 consolidated tape",tape is late
3911,"اوراق قرضۀ تك 

( مشابه اوراق پك كه برشی از تعهدات رهنی دارای پشتوانه است بدون این كه ریسك پرداخت پیش از موعد داشته باشد )

 PAC bonds",targeted amortization class ( TAC ) bonds
3912,دامنك مورد نظر,targeted spread
3913,"قیمت هدف، قیمت توأم با سود، قیمت مورد انتظار 

	[ مالی ] قیمت هدف ( قبضۀ مالکیت )>
	[ اختیار معامله ] قیمت توأم با سود>
	[ سهام ] قیمت مورد انتظار>
</ol>
 broker’s recommendations",target price
3914, Federal funds rate,target rate
3915,"تعرفه، جدول نرخ‌ها 

1. تعرفه
<ul>
	تعرفۀ درآمدی                                revenue tariff>
	تعرفۀ حمایتی                            protective tariff>
</ul>
2. جدول نرخ‌ها ( کرایۀ باربری )",tariff
3916,ماتَرَک مشمول مالیات,taxable estate
3917,رویداد مشمول مالیات,taxable event
3918,درآمد مشمول مالیات,taxable income
3919,اوراق قرضۀ شهرداری مشمول مالیات,taxable municipal bond
3920,حساب مالیات و وام,tax and loan account
3921,"اسناد خزانه با پیش‌بینی مالیات

( اسناد خزانۀ 23 تا 273 روزه منتشرشده به پشتوانۀ مالیات‌های قابل وصول )",tax anticipation bill-TAN 
3922,حسابرسی مالیاتی,tax audit
3923,"مالیات‌پرهیزی ( روش‌های قانونی )

 tax evasion",tax avoidance
3924,پایۀ مالیاتی,tax base
3925,طبقۀ مالیاتی,tax bracket	
3926,تحصیلدار مالیاتی,tax collector
3927,اعتبار مالیاتی,tax credit
3928,مخارج مالیات کاه,tax deductible
3929,"کسور مالیاتی

 tax deductible",tax deductions
3930,تعویق مالیات,tax deferred
3931,"تعیین وضعیت پروندۀ مالیاتی

( وضعیت شغلی یا خانوادگی مؤدیان مالیاتی )

 filing status",tax status election
3932,"قانون انصاف مالیاتی و مسئولیت بودجه‌ای 


( مصوب 1982 امریکا )",Tax Equity and Fiscal Responsibility Act of 1982-TEFRA 
3933,"ثمر معادل قرضۀ معاف از مالیات

 yield equivalence",tax equivalent yield
3934,"مالیات‌گریزی 

( از روش‌های غیرقانونی )",tax evasion
3935,معاف از مالیات,tax - exempt
3936,صندوق سرمایه‌گذاری بازار پول معاف از مالیات,tax - exempt money market fund 
3937,"اوراق بهادار معاف از مالیات

 moral obligation bond",tax - exempt security
3938,"بدهی مالیاتی 

 provision for income taxes",tax liability	
3939,پناهگاه مالیاتی,tax haven
3940,معافیت موقت مالیاتی,tax holiday
3941,حق حبس مالیاتی,tax lien
3942,انتقال زیان مالیاتی به سال‌های قبل,tax loss carryback
3943,انتقال زیان مالیاتی به سال‌های بعد,tax loss carryforward
3944,برنامه‌ریزی مالیاتی,tax planning
3945,خدمات تنظیم اظهارنامۀ مالیاتی,tax preparation services
3946,نرخ مالیات,tax rate
3947,استرداد مالیاتی,tax refund
3948,"جدول مالیاتی 

مترادف  tax rate schedule, rate schedule",tax schedules	
3949,"فروش مالیات كاه

( فروش همراه با زیان اوراق بهادار به منظور خنثی كردن عایدی سرمایه‌ای و در نتیجه كاهش مالیات )

 long term gain",tax selling
3950,سپر مالیاتی,tax shield
3951,جان‌پناه مالیاتی,tax shelter
3952,نرم‌افزار مالیاتی,tax software
3953,"تعیین وضعیت پرونده مالیاتی

( وضعیت شغلی یا خانوادگی مؤدیان مالیاتی )",tax status election	
3954,"معاملۀ جبرانی ایجاد مزیت مالیاتی 

( ایجاد ضرر مصنوعی جبرانی با استفاده از قراردادهای آتی و اختیار به منظور تعویق عایدی سرمایه‌ای به سال مالیاتی بعد )",tax straddle
3955,"چتر مالیاتی

 tax loss carryback, tax loss carryforward",tax umbrella	
3956,"بریدۀ گزارش 

( اطلاعات به روز شدۀ مالی استاندارد اند پورز )",tear sheet	
3957,نرخ بهرۀ تبلیغاتی,teaser rate	
3958,"خیز تکنیکال

( ترقی قیمت آتی کالایی یا اوراق بهادار در كوتاه‌مدت )


متضاد  technical decline",technical rally
3959, systematic risk,technical risk
3960,"علامت تکنیکال


 technical analysis",technical sign
3961,"دامنک نرخ بهرۀ اسناد خزانه و دلار اروپایی

 flight to quality",TED ( treasuries over Eurodollars ) spread
3962,"یك‌شانزدهم یك واحد

( وال استریت )

 steenth",Teenyo
3963, Tax Equity and Fiscal Responsibility Act of 1982,TEFRA
3964,شركت مدیریت فناوری بورس تهران,Tehran Securities Exchange Technology Management Co. -  TSETM 
3965,بورس اوراق بهادار تهران  ( سهامی عام ),Tehran Stock Exchange-TSE 
3966,شاخص قیمت و بازدۀ نقدی بورس اوراق بهادار تهران,Tehran Stock Exchange Dividend and Price Index-TEDPIX
3967,شاخص قیمت بورس اوراق بهادار تهران ( شاخص كل ),Tehran Stock Exchange Price Index-TEPIX 
3968,"انتقال تلفنی دارایی‌ها  

( صندوق سرمایه‌گذاری مشترک )",telephone switching
3969,"سرمایه‌گذاری موقت


( کوتاه‌مدت )

 parking",temporary investment
3970,"سرمایه‌گذاری موقت 

( کوتاه‌مدت )

 parking",temporary investment	
3971,اجاره به مدت نامعین,tenancy at will
3972,مالکیت مشترک با حق انتقال به شریک بازمانده,tenancy by the entirety-TBE 
3973,مالکیت مشترک غیرقابل انتقال به شریک بازمانده,tenancy in common-TIC 
3974,"ده‌برابری 

( رشد قیمت سهام )",tenbagger 
3975,"مزایده، مناقصه، پول قانونی

	مزایده ( tender offer)>
	مناقصه ( Dutch auction)>
	پول قانونی>
</ol>
مترادف  legal tender",tender
3976,"پیشنهاد خرید سهام 

 target company",tender offer
3977,قاعدۀ ده درصد,ten percent guideline
3978,"دورۀ زمانی 

( قرارداد، بازپرداخت وام، پرداخت بهرۀ گواهی سپرده یا اوراق قرضه، بیمۀ عمر )
<ul>
	رابطۀ مبادله                                                     terms of trade>
	ضوابط و شرایط ( قرارداد )                           terms and conditions>",term
3979,"گواهی سپردۀ بلندمدت

 certificate of deposit",term certificate
3980, severance pay,termination benefit
3981,"بیمۀ عمر زمانی 

 whole life insurance",term life insurance
3982,"وام مدت‌دار
( میان‌مدت - بلندمدت )",term loan
3983,"آزمون، آزمون مطابقت، آزمون تکنیکال

	[ به طور کلی ] آزمون>
	[ مالی ] آزمون مطابقت ( با نسبت‌های مالی ) ( quick ratio)>
	[ اوراق بهادار ] آزمون تکنیکال>
</ol>
 technical analysis",test
3984,"وصیت‌نامه 

مترادف  will",testament
3985,"موقوفۀ بعد از مرگ موصی

متضاد  inter vivos trust",testamentary trust
3986,"دارای وصیت‌نامه 

( متوفی )

متضاد  intestate",testate
3987,موصی,testator / testatrix
3988, fair value,theoretical futures price
3989,ارزش نظری حق تقدم خرید سهام,theoretical value of a right
3990, derivative pricing models,theta pricing model
3991,بازار کم‌عمق,thin market
3992,"بازار سوم 

( معاملات فرابورس اوراق بهادار پذیرفته‌شده در بورس )

 off - floor order",third market
3993,"
	چک شخص ثالث>
	چک با پشت‌نویسی مکرر>
	چک با واسطۀ پرداخت>
</ol>",third - party check
3994,جهان سوم,Third World - The
3995,"عرضۀ سی‌روزه به بازار

( كل ارزش دلاری اوراق قرضۀ شهرداری آمادۀ عرضه به بازار ظرف مدت سی‌روز )",thirty - day visible suppl
3996,"قاعدۀ سی‌روزۀ منع جبران مالیات 

( مقررات سازمان مالیاتی امریکا مبنی بر عدم امكان استفادۀ مالیاتی از زیان ناشی از فروش سهام در صورتی كه معادل همان مقدار سهام ظرف سی‌روز قبل یا بعد از فروش آن سهام خریداری شده باشد )",thirty - day wash rule
3997,"قاعدۀ افت بعد از سه‌خیز

( کاهش قیمت سهام و قرضه در پی سه بار افزایش نرخ تنزیل توسط بانك مركزی )",Three Steps and Stumble Rule
3998, ticker tape,ticker
3999,"جست کنترلی

( تجویز معاملات جست مثبت و صفر- مثبت در بازار نزولی و جست منفی یا صفر - منفی در بازار صعودی )

 short - sale rule",tick test
4000,"فرم سفارش 

( اوراق بهادار )

کوتاه‌شدۀ  order ticket",ticket	
4001,"سرمایۀ ردیف اول، سرمایۀ ردیف دوم

( کفایت سرمایۀ بانک‌ها )",tier 1 and tier 2
4002,"تایگر 

( اسم تجاری اوراقی كه از اول نام كلمات داخل پرانتز برداشته شده و به معنای گواهی رشد سرمایه‌گذاران در اوراق خزانه‌داری می‌باشد كه حاصل تفكیك اصل از بهرۀ آن اوراق است )

مترادف  TIGR",TIGER-treasury investors growth receipt
4003,"بازار فعال 

( بازار اوراق بهادار با مشخصاتی چون معاملات فعال و دامنک پیشنهادی - درخواستی محدود )

متضاد  slack market

 spread",tight market
4004,"پول انقباضی

متضاد  easy money

 monetary policy",tight money
4005,"حوالۀ مدت‌دار

متضاد  sight draft",time draft
4006, fixed - charge coverage,times fixed charges
4007,مالكیت زمانی ( مستغلات ),time sharing
4008, fixed charge coverage,time interest earned
4009,"ارزش زمانی، ارزش زمانی 

	[ به طور کلی ] ارزش زمانی ( yield to maturity)>
	[ اختیار معامله ] ارزش زمانی ( قیمت اختیار معامله مربوط به زمان باقی‌مانده تا انقضا ) ( intrinsic value)>
	[ سهام ] ارزش زمانی ( مابه‌التفاوت قیمت قبضۀ مالکیت و قیمت قبل از آن ",time value
4010,ارزش زمانی پول,time value of money	
4011,بازدۀ موزون زمانی,time - weighting of returns	
4012,زمان‌شناسی,timing
4013,بیمۀ حق مالکیت,"title insurance	
"
4014,"بورس کالای توکیو

( معاملات اختیار و آتی كالایی در ژاپن )",Tokyo Commodity Exchange-TOCOM
4015,بورس مالی توکیو,Tokyo Financial Exchange-TFE
4016,بورس غلات توکیو,Tokyo Grain Exchange-TGE
4017,بورس اوراق بهادار توکیو,Tokyo Stock Exchange-TSE
4018,"شاخص قیمت سهام توكیو

( یكی از دو شاخص عملكرد بورس اوراق بهادار توكیو )

 Nikkei Stock Average",Tokyo Stock Price Index-TOPIX 
4019,"قرضۀ عوارض راهداری 

 revenue bond",toll revenue bond
4020,"آگهی عرضۀ عمومی

( درج آگهی عرضۀ عمومی اوراق بهادار در روزنامه‌ها توسط شركت‌های تأمین سرمایه )

 mezzanine bracket",tombstone
4021,"تحویل روز بعد 


( بازار ارز و سپرده‌های یورو دلار )",tom next - tomorrow next
4022,"قرضۀ 100 میلیونی

( اصطلاح معامله‌گران اوراق قرضه )",ton 
4023,"سرمایه‌گذار کلان‌نگر 

( نگاه به شرایط عمومی اقتصاد در مرحلۀ نخست و سپس صنعت و آنگاه شرکت در مراحل بعد )

متضاد  bottom - up approach to investing",top - down approach to investing    
4024,بازار بین بانكی درجۀ یك,top - tier interbank market
4025, Nikkei Stock Average,TOPIX
4026,"پایان اوج

( بازار یا اوراق بهادار )",topping out
4027,بورس اوراق بهادار تورنتو,Toronto Stock Exchange-TSX
4028,"کل ساختار سرمایه

( بدهی‌های بلندمدت و همۀ اشکال سرمایۀ شرکت )

 capital structure",total capitalization
4029,"از کار افتادگی كلی 

 disability income insurance",total disability
4030,"بازدۀ کل

( شامل افزایش ارزش سرمایه‌گذاری و سود سهام یا بهره و از این قبیل )

 rate of return",total return
4031,"حجم کل معاملات 

( ارزش كل معاملات سهام، اوراق قرضه، اختیار معامله و آتی کالایی در یک روز معین )",total volume
4032,"سه روز بعد از معامله 

( تاریخ تحویل )

 delivery date",T - Plus - Three - trade - plus - three
4033,"ردیابی

( عملكرد سبد سرمایه‌گذاری )

مترادف  portfolio tracking",tracking
4034,"خطای ردیابی 

 tracking",tracking error
4035, balance of trade,trade balance
4036,کسری یا مازاد تجاری,trade deficit or surplus
4037,علامت تجاری,trademark	
4038,"وکالت کارگزار 

( خرید و فروش اوراق بهادار به وکالت از مشتری )",trading authorization
4039, suspended trading,trading curb
4040,"سوداگری سود سهام 

 dividend exclusion",trading dividends
4041, suspended trading,trading halt
4042,سامانۀ معاملاتی,trading platform
4043,"سود تجاری

( معاملات کوتاه‌مدت )","trading profit
"
4044,"اتاق معاملات

مترادف  dealing rooms",trading rooms
4045,ساعات معامله ( بورس ),trading session
4046,"گرد کردن قیمت معامله

( اوراق بهادار )

 plus",trading variation
4047, tranches,tranch CD
4048, tranches,tranchettes
4049,هزینۀ معامله,transaction cost
4050,ریسك نرخ ارز,transaction risk or exposure
4051,"عامل نقل و انتقال

( سهام و اوراق قرضه )",transfer agent
4052,پرداخت‌های انتقالی,transfer payments	
4053,"قیمت انتقالی 

( انتقالات داخلی شرکت‌ها )

مترادف  transfer cost

 arm’s length transaction",transfer price
4054,نامۀ توضیحی ( شرح معامله ),"transmittal letter
"
4055,شفافیت ( گزارشگری مالی ),transparency
4056,"حساب سفر و پذیرایی

 tax deduction",travel and entertainment account
4057,مخارج سفر و پذیرایی,travel and entertainment expens
4058,چک مسافری,traveler’s check
4059,"خزانه‌دار 

 chief financial officer-CFO",treasurer
4060,"تعهد بدهی خزانه

( قرضۀ قابل انتقال خزانه‌داری امریکا )
<ul>
	اسناد خزانه ( کوتاه‌مدت )                            treasury bills>
	قرضۀ خزانه ( بلندمدت )                           treasury bonds>
	اوراق خزانه ( میان‌مدت )                          ",treasuries
4061,"اسناد خزانۀ بی‌واسطه 

( پیشنهاد خرید غیررقابتی )

 noncompetitive bid",treasury direct
4062,"روند
( به طور کلی و اوراق بهادار به طور اخص )",trend
4063,"رخنه به پایین
( نظریۀ اقتصادی )

 supply - side economics",trickle down
4064,"معافیت مالیاتی سه‌بخشی

( ولایتی، ایالتی و فدرال در امریکا )",triple tax exempt
4065,"روز جنجالی سه‌گانه 

( انقضای هم‌زمان قراردادهای اختیار معامله، اختیار معاملۀ شاخص، و آتی در سومین جمعۀ اولین ماه فصول چهارگانۀ سال میلادی )

 double witching day",triple witching day
4066,"كوتاه کردن
( نظیر كوتاه كردن مراحل پرداخت چک )",truncation
4067,شرکت متولی,trust company
4068,متولی,trustee
4069,"مدیر تصفیه

( ورشکستگی )",trustee in bankruptcy
4070,وجوه امانی,trust funds
4071,قرارداد تولیّت,trust indenture
4072,"صندوق‌های قابل‌معامله در بورس با رسید متولی 

( محصول مریل لینچ و در ارتباط با امکس تحت نام تجاری HOLDRs )

 exchange – traded funds",trust - issued receipts
4073,بورس اوراق بهادار تهران,TSE-Tehran Stock Exchange 
4074,بورس سهام سرمایۀ مخاطره‌آمیز کانادا,TSX Venture Exchange-CDNX 
4075,سرمایه‌گذاری زیان‌آور,turkey
4076,"برگشت مطلوب

( شرکت، بازار، اقتصاد ملی )",turnaround
4077,کلید تحویل ( قرارداد ),turnkey
4078,"دورۀ بیست‌روزه 

( كمیسیون بورس و اوراق بهادار )",twenty-day period	
4079,"قاعدۀ بیست و پنج درصد
( اوراق قرضۀ شهرداری )",twenty - five percent rule
4080,"قاعدۀ حاشیۀ امن بیست‌درصدی


 municipal revenue bonds",twenty - percent cushion rule
4081, churning,twisting
4082,"کارگزار یدكی

 independent broker",two - dollar broker	
4083, double declining - balance depreciation method-DDB,200 percent declining balance method
4084,"بازار دوطرفه 

مترادف  two - way market",two - side market	
4085,"پیشنهاد خرید دوقیمتی
( قبضۀ مالکیت )

متضاد  any - and - all bid",two - tier bid
4086,"یوكلا

( سازمان پذیرش اوراق بهادار بریتانیا )",UKLA-The UK Listing Authority 
4087,صندوق سرمایه‌گذاری قرضۀ فوق کوتاه‌مدت,ultra - short term bond fund 
4088,"فعالیت‌های فراقانونی

( خارج از اساسنامۀ شرکت )

 articles of incorporation",ultra vires activities
4089,بیمه‌نامۀ مسئولیت مدنی شخصی فراگیر,umbrella personal liability policy 
4090,كسر قرضۀ مستهلک‌نشده,unamortized bond discount	
4091,"صرف سرمایه‌گذاری مستهلک‌نشده 

( پرداخت مازاد بر ارزش اسمی اوراق قرضه یا سهام ممتاز و پرداخت مازاد بر ارزش بازار در مورد سهام عادی )",unamortized premiums on investments
4092,"تجزیه، تفکیک

	تجزیه ( اوراق بهادر یا ابزار مشتقۀ ترکیبی )>
	تفکیک ( فعالیت‌های غیراصلی شركت‌های بیش‌رشته‌ از فعالیت‌های اصلی )>
</ol>",unbundling	
4093,"وجوه وصول‌نشده ( چک )

 f loat",uncollected funds
4094,مطالبات لاوصول,uncollectible account
4095,"بی‌شریک
( نیافتن عضو سندیكای پذیره‌نویسی برای اوراق بهادار تازه منتشرشده )

 underwriter",underbanked
4096,"كم‌پذیره‌نویسی‌شده
( پذیره‌نویسی قبل از عرضۀ عمومی انتشار جدید اوراق بهادار )

متضاد  fully circled

 circle",underbooked
4097,"دارایی مبنا 

( دارایی واقعی، اوراق بهادار، قرارداد وام )",underlying asset
4098,"بدهی مبنا

( قرضۀ شهرداری )",underlying debt
4099,قرارداد آتی مبنا,underlying futures contract
4100,"اوراق بهادار مبنا

( اوراق بهادار تحویل دادنی در صورت اعمال اختیار خرید یا اختیار فروش، سهام عادی تحویل دادنی در صورت اعمال حق خرید سهام یا حق تقدم خرید سهام، تبدیل اوراق قرضۀ تبدیل‌پذیر یا سهام ممتاز به سهام عادی )",underlying security
4101,"كسری حداقل ودیعه


( حساب اعتباری نزد کارگزار )

 margin account",undermargined account
4102,"اختیار معاملۀ فاقد ارزش ذاتی
 out - of - the money option",underwater option
4103,"كسری مالیات تکلیفی

 overwithholding",underwithholding
4104,"پذیره‌نویس، بیمه‌گر

	[ اوراق بهادار ] پذیره‌نویس ( انتشار اوراق بهادار جدید ) ( underwrite)>
	[ بیمه ] بیمه‌گر>
</ol>",underwriter
4105,تعهد پذیره‌نویسی,underwriting
4106,"اوراق بهادار فروش‌نرفته

( نشر جدید اوراق قرضه و سهام )

 underwrite",undigested securities
4107, retained earnings,"undistributed profits - earnings, net income"
4108,سود تقسیم‌نشده,undivided profits
4109,"بهرۀ موعد نرسیده 

 unearned income",unearned discount
4110,"درآمد موعدنرسیده، درآمد غیرشغلی

	[ حسابداری ] درآمد موعدنرسیده ( deferred charge)>
	[ مالیات بر درآمد ] درآمد غیرشغلی ( بهره، اجاره، سود سهام، و ... )>
</ol>",unearned income - revenue 
4111,بهرۀ تحقق‌یافته,unearned interest
4112,"بیکار/ بیکاری

 uneaned discount",unemployed or unemployment
4113,میزان بیکاری,unemployment rate
4114, hostile takeover,unfriendly takeover
4115,"صندوق بازنشستگی تأمین جاری

مترادف  pay - as - you - go

متضاد  advance funded pension plan",unfunded pension plan
4116,"مجموعه مقررات متحدالشكل 

( انجمن ملی معامله‌گران اوراق بهادار )",Uniform Practice Code
4117,آزمون متحدالشكل قوانین ایالتی عاملان مجاز کارگزاری اوراق بهادار,uniform securities agent state law examination
